"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"258",0,0,0,0,0,0,0,0,0,0
"259",0,0,0,0,0,0,0,0,0,1
"260",0,1,0,0,1,2,0,1,2,2
"261",0,0,0,0,1,0,0,1,0,1
"262",2,1,0,2,0,0,1,1,2,0
"263",0,0,0,0,0,0,0,1,0,0
"264",0,0,0,0,0,0,0,0,0,0
"265",1,1,1,1,1,1,0,1,1,3
"266",1,2,0,1,1,1,1,1,2,1
"267",0,1,0,0,1,1,0,1,1,1
"268",0,0,0,0,0,0,0,0,0,2
"269",0,0,0,1,0,0,0,1,0,2
"270",1,1,0,0,1,1,1,1,1,1
"271",1,1,1,0,1,0,1,2,0,2
"272",0,0,0,0,0,0,0,0,0,0
"273",0,0,0,0,0,0,0,0,1,0
"274",0,0,0,2,1,3,0,2,4,1
"275",0,0,0,0,0,0,0,0,0,0
"276",0,1,0,0,0,0,0,1,0,1
"277",0,1,0,0,1,0,1,1,0,2
"278",2,3,1,1,2,1,2,3,2,3
"279",1,1,0,0,1,0,1,2,2,2
"280",0,4,1,0,3,1,3,3,0,3
"281",0,0,0,0,0,1,1,1,1,1
"282",0,0,0,0,0,0,0,0,0,0
"283",2,1,0,2,0,1,1,0,1,0
"284",0,1,0,0,1,0,0,1,0,2
"285",1,2,0,0,1,2,1,2,2,3
"286",0,0,0,0,0,0,0,0,0,1
"287",4,2,2,3,0,1,1,1,2,3
"288",3,0,2,3,1,3,1,0,3,1
"289",0,0,0,0,0,1,0,1,0,3
"290",0,0,0,0,0,0,0,0,0,0
"291",2,1,2,1,1,2,1,2,4,5
"292",1,1,0,0,0,0,0,0,1,2
"293",0,0,0,0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0,0,0,0
"295",3,3,1,2,1,2,1,1,2,2
"296",2,1,1,2,2,2,1,1,2,2
"297",0,0,0,0,0,0,0,0,0,0
"298",0,0,0,0,0,1,0,0,0,0
"299",1,2,0,1,0,0,0,0,1,2
"300",0,1,0,0,0,0,0,0,1,0
"301",0,0,0,0,1,0,0,3,0,4
"302",1,0,1,1,0,1,0,0,1,0
"303",1,0,2,1,0,1,1,1,3,1
"304",0,2,0,0,1,0,1,0,1,1
"305",0,1,0,0,0,0,0,0,0,1
"306",1,1,0,1,0,0,1,1,0,2
"307",0,0,0,0,0,0,0,0,0,0
"308",0,0,0,0,0,0,0,0,0,0
"309",0,0,0,0,0,0,0,0,0,0
"310",1,1,2,1,0,0,0,1,1,1
"311",0,0,0,0,0,0,0,3,1,1
"312",1,0,1,2,0,0,0,2,2,0
"313",1,0,1,1,0,0,0,3,1,1
"314",0,0,0,1,1,0,0,2,0,3
"315",1,0,0,2,1,0,0,2,2,1
"316",0,2,0,1,1,1,0,2,1,3
"317",0,0,0,0,0,0,0,0,0,0
"318",3,0,3,3,0,3,1,1,3,3
"319",1,3,0,1,3,0,2,4,1,4
"320",0,1,0,0,1,0,1,1,0,1
"321",0,2,0,0,0,0,0,2,1,2
"322",1,0,0,0,0,0,0,0,1,1
"323",1,1,0,1,0,0,0,0,1,0
"324",0,1,0,0,1,0,0,2,1,3
"325",0,0,0,1,0,0,0,2,0,1
"326",0,1,0,0,1,0,0,2,0,2
"327",0,0,0,0,0,0,0,0,0,0
"328",0,0,0,0,0,0,0,1,0,1
"329",1,0,1,0,0,1,0,2,3,3
"330",0,0,0,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0,0,0,0
"332",0,0,0,0,0,0,0,0,0,0
"333",0,0,0,0,0,0,0,0,0,0
"334",1,2,0,0,1,1,1,2,1,1
"335",0,0,0,0,0,0,0,2,0,1
"336",0,0,0,0,0,0,0,0,0,0
"337",0,0,0,0,0,0,0,0,0,0
"338",0,0,0,0,0,1,0,0,2,0
"339",0,0,0,0,0,0,0,1,0,1
"340",0,0,0,0,0,0,0,0,0,1
"341",0,1,0,1,0,0,0,0,1,0
"342",1,1,0,1,0,1,0,0,1,0
"343",0,0,0,0,0,0,0,1,0,2
"344",1,1,0,0,1,1,1,1,1,1
"345",0,0,0,0,0,0,0,0,0,0
"346",0,1,0,1,0,0,0,1,1,0
"347",0,1,0,1,0,0,0,0,1,1
"348",0,1,0,0,0,0,0,0,0,0
"349",0,0,0,0,0,0,0,0,0,0
"350",0,1,0,0,0,0,0,1,0,0
"351",1,1,0,0,2,1,2,2,1,2
"352",0,0,0,0,1,0,0,0,0,2
"353",1,0,0,1,0,0,0,0,2,0
"354",0,1,1,0,1,0,0,3,0,1
"355",1,0,0,1,0,0,0,1,0,2
"356",0,2,0,2,2,1,1,2,2,2
"357",3,0,0,2,0,2,0,2,4,2
"358",1,2,0,1,1,0,0,3,5,1
"359",1,0,1,2,0,1,0,3,3,2
"360",3,2,2,1,2,3,2,4,3,3
"361",1,0,0,1,0,1,0,0,1,0
"362",0,0,0,0,0,0,0,0,0,0
"363",0,2,0,0,0,0,1,2,0,1
"364",1,2,0,1,1,1,1,2,1,1
"365",1,2,0,1,0,0,0,2,1,2
"366",1,0,0,0,0,0,1,0,0,0
"367",0,0,0,0,0,0,0,0,0,0
"368",0,0,0,0,0,0,0,0,0,1
"369",2,3,1,2,1,1,1,2,1,4
"370",1,0,0,0,0,0,1,0,1,0
"371",0,0,0,0,0,0,0,0,0,0
"372",1,0,0,1,0,1,0,0,1,0
"373",0,1,0,0,0,0,0,1,0,2
"374",1,1,0,1,0,1,0,0,1,1
"375",2,0,2,0,0,1,1,0,2,0
"376",2,2,4,4,0,3,1,0,5,1
"377",0,0,0,0,1,0,0,1,0,1
"378",0,0,0,2,0,1,0,1,1,2
"379",0,0,0,0,0,1,0,2,2,2
"380",0,1,0,1,0,0,0,3,0,3
"381",0,0,0,0,0,0,0,0,0,0
"382",0,0,0,0,0,0,0,0,0,0
"383",0,0,0,0,0,0,0,0,0,0
"384",0,0,0,0,0,0,0,0,0,0
"385",0,0,0,0,0,0,0,0,0,0
"386",0,2,0,2,0,0,0,2,0,1
"387",0,0,0,0,0,0,0,0,0,0
"388",0,0,0,0,0,0,0,0,0,0
"389",0,0,0,0,0,0,0,0,0,0
"390",0,0,0,0,0,0,0,0,0,0
"391",0,0,0,0,0,0,0,0,0,0
"392",1,0,0,1,0,0,1,1,1,1
"393",0,1,0,0,0,1,0,0,1,0
"394",1,0,0,1,0,0,0,0,2,0
"395",0,0,0,0,0,0,0,0,0,0
"396",0,0,0,0,0,0,0,1,0,0
"397",0,0,0,0,0,0,0,0,0,0
"398",0,0,0,0,0,0,0,0,0,0
"399",0,0,0,0,0,0,0,0,1,0
"400",0,0,0,0,0,0,0,0,0,0
"401",1,1,0,0,1,0,0,2,2,2
"402",1,1,1,3,0,0,0,1,3,1
"403",2,1,0,1,1,2,0,1,4,1
"404",0,0,1,1,0,1,0,0,1,0
"405",0,0,0,0,0,0,0,0,1,0
"406",0,0,0,0,0,0,0,1,0,1
"407",0,0,0,0,2,0,0,2,2,6
"408",0,1,1,1,1,0,0,2,3,4
"409",0,0,0,0,0,0,0,0,0,0
"410",1,3,0,0,1,1,1,2,1,3
"411",1,1,0,0,1,0,0,2,2,2
"412",0,2,0,1,0,0,0,0,1,0
"413",0,0,0,0,0,0,0,0,1,0
"414",2,2,0,1,2,1,2,3,3,2
"415",1,0,0,1,0,1,0,0,1,0
"416",3,1,0,1,1,2,2,2,2,2
"417",1,0,1,1,1,1,0,1,2,1
"418",0,0,0,0,0,0,0,0,0,0
"419",1,1,0,0,1,2,1,2,2,3
"420",0,0,0,0,0,0,0,0,1,0
"421",0,1,0,0,0,1,0,0,1,0
"422",2,2,1,1,1,2,1,1,2,1
"423",1,1,0,0,1,1,2,1,1,1
"424",0,1,0,0,1,0,0,0,0,1
"425",0,0,0,0,0,0,0,0,0,0
"426",0,0,0,0,0,0,0,1,0,1
"427",1,0,1,0,0,1,1,2,1,1
"428",0,0,1,0,0,1,0,0,1,0
"429",1,0,1,0,0,1,2,0,1,0
"430",1,0,1,0,0,1,1,1,1,1
"431",0,0,0,0,0,0,0,0,0,0
"432",0,1,0,0,1,0,0,1,0,2
"433",0,1,0,1,0,0,0,0,0,1
"434",0,0,0,0,1,0,1,0,0,1
"435",0,0,0,0,0,0,0,0,0,0
"436",1,2,0,0,2,1,2,2,1,2
"437",0,0,0,0,0,0,1,0,1,0
"438",1,0,1,1,0,1,1,1,1,0
"439",0,2,0,1,2,0,1,3,0,3
"440",0,0,0,0,0,0,0,0,0,0
"441",2,2,1,0,1,1,2,1,2,1
"442",1,1,1,1,0,1,1,0,1,0
"443",0,0,0,0,0,0,0,0,1,0
"444",0,0,0,0,0,0,0,0,0,0
"445",0,0,0,0,0,0,1,1,0,1
"446",0,1,0,0,1,0,1,2,1,2
"447",0,2,2,0,2,1,1,1,3,2
"448",0,0,0,0,0,0,1,0,0,0
"449",0,0,0,0,1,0,0,1,1,1
"450",0,2,0,0,0,0,0,0,1,1
"451",1,1,0,0,1,1,1,3,4,3
"452",1,2,0,0,1,0,1,2,2,3
"453",0,0,0,0,1,0,1,0,0,1
"454",0,0,0,0,0,0,0,0,0,0
"455",0,0,0,0,0,1,0,0,1,0
"456",0,0,0,0,0,0,0,0,0,0
"457",0,0,0,0,1,0,0,1,1,1
"458",2,0,1,2,1,1,0,3,3,3
"459",1,0,1,1,0,1,0,0,2,0
"460",1,0,1,0,0,0,0,0,1,0
"461",0,1,0,1,0,0,0,0,1,0
"462",2,0,1,1,0,1,1,0,2,0
"463",0,1,0,0,0,0,0,1,0,1
