"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"even",5,4,3,7,2,7,3,6,9,7
"ever",6,10,0,8,8,4,9,15,8,15
"everi",26,20,9,22,14,20,16,31,39,39
"everyand",1,1,1,1,1,1,0,1,1,1
"everyon",6,7,2,9,4,5,6,13,13,13
"everyth",7,7,4,6,8,4,11,18,8,17
"exact",1,0,1,0,1,0,1,1,1,1
"exampl",1,1,0,2,0,2,1,1,2,1
"execut",2,2,2,2,2,2,2,2,2,3
"existenti",9,6,4,9,2,4,3,2,9,3
"expand",2,2,1,1,1,2,3,6,2,7
"expens",1,1,1,0,0,0,0,0,1,0
"expert",9,6,5,10,4,7,8,17,11,17
"expertis",1,0,1,1,0,0,0,1,1,1
"explos",1,0,1,1,0,1,1,0,1,0
"express",1,0,0,1,1,0,0,0,1,1
"eye",1,0,0,1,0,2,1,1,2,1
"face",5,6,2,8,6,5,5,9,9,14
"facebook",1,1,0,1,0,0,0,1,1,2
"fact",4,5,3,7,2,4,11,12,7,7
"fail",12,5,8,14,4,8,24,23,14,27
"failur",3,5,11,10,0,11,4,9,11,11
"fair",3,1,0,3,1,3,6,4,5,6
"fairytal",1,1,0,1,1,1,0,2,2,2
"faith",1,11,2,3,11,2,0,12,5,12
"fall",1,1,1,1,1,2,1,1,2,2
"fals",1,2,0,1,2,1,2,2,2,2
"fame",1,1,0,0,1,0,1,1,1,1
"famil",1,1,1,1,1,1,1,1,1,1
"famili",4,7,1,10,8,13,3,15,14,25
"fan",2,2,1,2,1,1,2,2,3,2
"far",2,5,1,2,0,3,1,5,7,5
"farther",1,0,0,1,0,1,0,1,1,1
"fauci",2,3,2,2,1,2,0,3,2,3
"fault",3,0,1,1,0,3,0,0,3,0
"fear",10,5,1,11,5,2,7,5,11,8
"fearmong",3,1,2,2,2,2,0,3,1,3
"februari",1,0,0,1,0,1,0,0,1,1
"feel",4,5,4,4,4,5,3,4,5,4
"fellow",1,1,0,2,0,1,1,5,4,5
"felt",1,0,0,0,0,0,0,0,1,0
"fiction",3,3,0,3,3,0,3,6,3,6
"fight",25,9,4,20,6,7,6,12,25,16
"filedi",1,1,1,1,0,1,0,1,1,1
"fina",1,0,0,1,0,1,0,0,1,0
"final",3,7,6,2,7,2,6,7,3,7
"financi",1,0,1,1,0,1,1,1,1,0
"find",2,3,1,1,3,0,1,3,2,3
"fire",2,1,2,3,1,2,2,3,3,3
"firefight",1,1,1,1,0,1,1,1,1,1
"first",5,7,2,4,3,4,4,12,8,12
"five",1,1,1,1,1,1,1,1,2,2
"fix",2,1,1,2,0,2,1,2,2,2
"flag",1,2,1,2,1,2,2,2,2,2
"flagrant",1,1,1,0,0,0,0,0,1,0
"flame",1,1,1,1,1,1,1,1,1,1
"flatout",1,0,0,1,0,0,1,1,1,1
"flee",1,1,1,1,0,1,0,1,1,1
"flood",1,0,1,1,0,0,0,0,1,0
"florida",2,3,0,0,2,1,3,3,2,4
"floyd",1,0,0,0,1,0,0,3,1,3
"focus",1,1,2,1,1,2,2,1,1,3
"folk",8,20,2,5,16,6,11,21,16,33
"follow",1,0,1,1,0,1,0,0,1,0
"foment",1,0,0,1,0,1,1,0,1,0
"food",1,0,0,3,5,3,2,5,4,5
"foot",1,0,1,1,0,1,1,1,1,0
"footbal",1,1,1,1,1,1,0,1,1,1
"forc",1,3,1,6,5,4,1,4,6,6
"foreign",1,0,0,1,0,0,1,1,2,1
"forev",1,3,1,1,2,1,2,3,1,2
"forget",2,1,2,3,1,4,2,2,4,2
"form",2,1,1,2,2,2,1,2,2,2
"former",1,0,0,1,0,0,0,1,1,1
"fossi",1,1,1,1,1,1,1,1,1,1
"fought",1,1,0,1,1,0,0,2,0,2
"four",6,11,5,5,6,7,14,14,6,16
"fourth",1,1,1,1,0,1,0,2,2,2
"free",2,0,2,2,0,2,2,0,2,2
"freedom",5,2,5,3,7,6,3,7,6,7
"friday",1,1,0,1,1,1,1,1,1,1
"front",6,2,1,13,1,2,1,4,13,9
"frontlin",1,0,0,1,0,0,1,3,2,2
"full",3,3,1,2,2,2,3,5,3,8
"fund",1,0,1,2,1,1,2,3,1,3
"fundament",2,1,1,0,2,2,1,2,2,2
"furt",1,1,0,0,1,1,1,1,1,1
"futur",15,17,6,15,14,8,14,17,10,25
"futureand",1,1,0,1,0,0,0,0,1,0
"futurehop",1,0,0,1,0,0,0,0,1,0
"gabbi",1,0,0,1,0,1,0,0,1,0
"galveston",1,1,1,1,1,1,1,1,1,1
"game",1,1,1,1,1,1,1,2,1,1
"genderbas",1,0,1,1,0,1,0,1,1,1
"general",2,0,0,2,0,0,0,3,0,3
"generous",1,2,1,1,2,1,2,2,2,2
"georg",1,0,0,0,1,0,0,3,1,3
"get",19,27,16,19,16,21,27,36,40,43
"giant",4,5,3,9,5,3,5,7,6,9
"ginsburg",4,4,0,5,2,0,2,8,1,8
"give",8,14,3,7,13,7,12,20,9,23
"given",2,4,1,2,2,2,5,4,3,5
"glad",1,1,1,1,1,1,1,1,1,1
"goal",2,1,0,0,1,0,1,2,3,3
"god",1,6,1,6,6,0,4,6,1,6
"goe",1,1,0,0,1,2,1,2,2,1
"goin",1,0,1,1,0,2,0,0,2,0
"golf",1,2,1,1,0,2,1,2,2,2
"gone",1,0,0,2,0,1,0,1,2,1
"good",7,21,8,10,21,7,21,21,13,21
"goodpay",1,0,1,1,2,1,0,1,1,2
"got",3,6,0,4,3,4,3,8,6,12
"gotten",1,1,2,1,1,2,2,2,3,2
"govern",2,1,1,8,1,2,2,6,10,8
"granit",1,2,0,0,1,1,1,2,2,2
"grant",1,1,0,0,1,1,1,1,2,2
"grassroot",1,4,0,0,4,0,3,5,1,5
"grate",1,3,0,0,4,0,2,5,1,7
"gratitud",2,0,0,2,2,1,0,0,2,2
"great",3,5,3,5,3,3,4,8,3,8
"greater",1,1,1,1,1,1,1,1,1,1
